f,l,l0
257.0,-0.28196177485989793,-17.084771252903657
258.0,-0.23342956052697839,-17.056519318400834
259.0,-0.18395940079304396,-17.028295854141273
260.0,-0.13356591645387117,-17.000101954035337
261.0,-0.0822611763992959,-16.971938637796992
262.0,-0.030054730056488017,-16.943806852728656
263.0,0.02304637533763896,-16.915707475375513
264.0,0.0770375929349272,-16.887641313051066
265.0,0.13191689042075186,-16.859609105235155
266.0,0.18768478077006467,-16.83161152484629
267.0,0.24434437048817118,-16.803649179388255
268.0,0.3019014264406194,-16.77572261197162
269.0,0.36036446263579136,-16.747832302209563
270.0,0.41974484861663897,-16.719978666987828
271.0,0.4800569414520734,-16.69216206110712
272.0,0.5413182437020904,-16.66438277779662
273.0,0.6035495901737818,-16.63664104909583
274.0,0.666775366800574,-16.608937046102717
275.0,0.7310237655784391,-16.581270879083874
276.0,0.7963270801987563,-16.553642597443055
277.0,0.8627220478495817,-16.526052189542884
278.0,0.9302502436414873,-16.498499582374663
279.0,0.9989585352837349,-16.47098464106881
280.0,1.0688996070309829,-16.44350716823965
281.0,1.1401325635894168,-16.416066903155254
282.0,1.2127236266749917,-16.388663520723163
283.0,1.2867469393312883,-16.36129663028107
284.0,1.3622854960348574,-16.33396577418052
285.0,1.439432220159837,-16.306670426149747
286.0,1.5182912146901162,-16.2794099894206
287.0,1.5989792173429975,-16.252183794602118
288.0,1.6816272977405848,-16.22499109728199
289.0,1.766382842234443,-16.1978310753337
290.0,1.8534118818388978,-16.170702825906076
291.0,1.9429018309495332,-16.143605362067582
292.0,2.035064719745813,-16.11653760907535
293.0,2.1301410222133867,-16.089498400235097
294.0,2.228404205624373,-16.062486472313648
295.0,2.330166157450033,-16.035500460461346
296.0,2.4357836838334768,-16.008538892596377
297.0,2.5456663222561904,-15.981600183196651
298.0,2.660285772961464,-15.954682626438437
299.0,2.78018733310057,-15.927784388612565
300.0,2.90600381980548,-15.900903499740878
301.0,3.0384726005859624,-15.874037844304311
302.0,3.178456521086318,-15.847185150983032
303.0,3.3269697439909915,-15.820342981295344
304.0,3.485209805711156,-15.793508717006224
305.0,3.654597582185573,-15.766679546158489
306.0,3.836827362267515,-15.739852447559084
307.0,4.033929897784638,-15.713024173528298
308.0,4.248352188297774,-15.686191230691932
309.0,4.483058938221063,-15.659349858563905
310.0,4.741662186479722,-15.632496005627852
311.0,5.028587659871064,-15.605625302582563
312.0,5.349289017703271,-15.578733032362281
313.0,5.710524206878831,-15.55181409648216
314.0,6.120710595271635,-15.524862977185009
315.0,6.590372694648133,-15.4978736947796
316.0,7.13266860165845,-15.470839759457778
317.0,7.763848151947805,-15.44375411675481
318.0,8.502928603596859,-15.416609085671434
319.0,9.367717717525,-15.389396288300368
320.0,10.359242127668526,-15.362106569588816
321.0,11.438217509736418,-15.334729905613747
322.0,12.568233006401215,-15.307255298437962
323.0,13.743865109282304,-15.279670655238913
324.0,14.792945058441962,-15.251962648944765
325.0,15.327806112998664,-15.224116557048973
326.0,15.059098941055929,-15.196116074583905
327.0,14.139906685344943,-15.167943096378139
328.0,12.960542323273962,-15.139577462660515
329.0,11.79861198225903,-15.110996660747913
330.0,10.770550039283691,-15.082175473893306
331.0,9.904497316509893,-15.053085566274408
332.0,9.193246639030036,-15.023694990450565
333.0,8.618380959758296,-14.993967600232923
334.0,8.159703375436054,-14.963862347577813
335.0,7.798223752056374,-14.933332436523505
336.0,7.516241781509746,-14.902324299934321
337.0,7.298124125886341,-14.870776355334943
338.0,7.133201546013106,-14.838617483641286
339.0,7.0144554095463985,-14.805765158053998
340.0,6.935554740247776,-14.772123128280157
341.0,6.890705917410111,-14.737578535477201
342.0,6.875057317771022,-14.701998292860148
343.0,6.884716162632893,-14.665224511440268
344.0,6.916605990249432,-14.627068673564445
345.0,6.968315056212657,-14.587304149513624
346.0,7.037971144201464,-14.545656500579803
347.0,7.124144085363201,-14.501790794955498
348.0,7.225770986196261,-14.455294848678886
349.0,7.34209923896863,-14.405656843672798
350.0,7.4726434622224485,-14.352235091627977
351.0,7.617153508230073,-14.29421668373447
352.0,7.775591442650445,-14.230560194648504
353.0,7.948115987777654,-14.159915171455468
354.0,8.135073379903838,-14.080507298148486
355.0,8.336993970117636,-13.98997198018159
356.0,8.554594236520394,-13.885109104663583
357.0,8.788784216071893,-13.761515263709622
358.0,9.040680762254977,-13.613022264506098
359.0,9.311627586210285,-13.430824679919468
360.0,9.603223935874546,-13.202102368474677
361.0,9.917365437668751,-12.907819790769121
362.0,10.25630409398132,-12.519202490293491
363.0,10.622742273506242,-11.992208860448558
364.0,11.019994154326689,-11.259529878666608
365.0,11.452289669800708,-10.222232375224223
366.0,11.92533260155572,-8.757540043430996
367.0,12.446518400643544,-6.829699447022439
368.0,13.017253103242714,-5.015859944428818
369.0,13.615994059958902,-4.995614176488495
370.0,14.25885106699375,-6.762254242587453
371.0,14.981247239363135,-8.635485670665808
372.0,15.791537787466144,-10.041660355472606
373.0,16.697190171739233,-11.018028330196172
374.0,17.708765693675442,-11.688209519795947
375.0,18.836346770121317,-12.151674648787129
376.0,20.08222774945317,-12.47603578476937
377.0,21.423630938449662,-12.705470980360987
378.0,22.773938096427617,-12.868784665988136
379.0,23.91923928845182,-12.984977802009727
380.0,24.507389212135724,-13.066796983561735
381.0,24.27664022016748,-13.122949511610702
382.0,23.35358368338536,-13.159488374932785
383.0,22.09882033617628,-13.180688147957493
384.0,20.78954172598429,-13.189607557296322
385.0,19.55533624597055,-13.188456910577568
386.0,18.438599451789614,-13.17884207670005
387.0,17.444601352831995,-13.161928991828656
388.0,16.565600405830743,-13.138556052219263
389.0,15.790219333110693,-13.109311679239275
390.0,15.104681195870375,-13.074588140534452
391.0,14.493521269625935,-13.034618831357905
392.0,13.948220806985368,-12.989503749491567
393.0,13.464388722179317,-12.939226293819932
394.0,13.036137750239964,-12.883663453572956
395.0,12.657363004515101,-12.822590732184594
396.0,12.322679679014,-12.755682641507684
397.0,12.027472862371306,-12.682509228880933
398.0,11.767772750684262,-12.602528808708495
399.0,11.540137588287656,-12.515076825742742
400.0,11.34156394850103,-12.419350552863488
401.0,11.169418837943557,-12.314389100861478
402.0,11.021387326197917,-12.199047972818564
403.0,10.8954312958128,-12.071967112113164
404.0,10.789756417136452,-11.93153104914691
405.0,10.702785441154766,-11.775819320320743
406.0,10.633136551317055,-11.602544776790374
407.0,10.579605965300614,-11.408976667630382
408.0,10.541154322731195,-11.19184439394953
409.0,10.516896701451747,-10.947216465847102
410.0,10.506096434157753,-10.67034725832623
411.0,10.508163325931957,-10.355481334883214
412.0,10.52265752410246,-9.995600849497944
413.0,10.549301390015845,-9.582094931731941
414.0,10.588003715361324,-9.104319443041703
415.0,10.638904456246268,-8.548998452459358
416.0,10.702455915247832,-7.899391099324813
417.0,10.77957285231787,-7.134103805079719
418.0,10.871921260912016,-6.225366102567556
419.0,10.982503881897827,-5.136536961083302
420.0,11.116918086957387,-3.818759831403484
421.0,11.286185119873718,-2.2080694441710356
422.0,11.512919805987734,-0.232309336060649
423.0,11.838989590814915,2.119546674972628
424.0,12.275575424687764,4.4330486084778515
425.0,12.535514104165026,5.1440048958935956
426.0,12.443256719137011,3.459838863632661
427.0,12.398746228404274,1.0571038281078933
428.0,12.494184700202268,-1.0863255475433051
429.0,12.682128767212614,-2.840321900994785
430.0,12.93452326994908,-4.263057538323515
431.0,13.243205592118418,-5.425344530411042
432.0,13.61125410221324,-6.383825602403919
433.0,14.050046146877065,-7.181097691111026
434.0,14.579899702281192,-7.8492054380055585
435.0,15.23193333130354,-8.412609408114065
436.0,16.041942016553065,-8.890288800610435
437.0,17.00248299384227,-9.297186545354108
438.0,17.987493893294197,-9.6452119652404
439.0,18.712894614535287,-9.943951774864896
440.0,18.915560678697506,-10.20118653845065
441.0,19.018224059110413,-10.4232742743837
442.0,19.467063790822856,-10.615440858276317
443.0,20.224030234397357,-10.78200331664248
444.0,21.15881608762333,-10.926543667592792
445.0,22.322328316510365,-11.052045600572072
446.0,23.62783263393423,-11.161002779977983
447.0,24.761731124208943,-11.255505194986842
448.0,25.24169388627719,-11.337308339089427
449.0,24.78424745284355,-11.407888834926194
450.0,23.65416148882688,-11.468489267688916
451.0,22.304883216853945,-11.520154355471679
452.0,21.00758624445973,-11.563760103510452
453.0,19.86029584117429,-11.60003721812937
454.0,18.880690473233827,-11.629589765375638
455.0,18.05806306826978,-11.652909827130319
456.0,17.374044227376398,-11.67038871775362
457.0,16.80993201111229,-11.682325164456797
458.0,16.349044762687825,-11.688930714232926
459.0,15.977324856096136,-11.690332500225827
460.0,15.683377957925472,-11.686573372179703
461.0,15.458390966487134,-11.677609259993655
462.0,15.296116058998575,-11.663303485994076
463.0,15.193038330070314,-11.643417557489306
464.0,15.148859919129547,-11.617597739725237
465.0,15.167506354188443,-11.58535640775689
466.0,15.258961150311197,-11.546046772252685
467.0,15.442121402509057,-11.498829023783735
468.0,15.747036549487074,-11.44262517788819
469.0,16.20436482617253,-11.37605883505757
470.0,16.779287273017285,-11.297374558347837
471.0,17.279063595148042,-11.204329415099142
472.0,17.64358122052528,-11.094046132493101
473.0,18.130791040308598,-10.962812846119032
474.0,18.667716542550785,-10.80580794585167
475.0,18.75496405576804,-10.616719138748543
476.0,18.211889029940338,-10.387212285184669
477.0,17.448971575124965,-10.106186120732414
478.0,16.80790203178075,-9.758721580194937
479.0,16.365206862484712,-9.324597225068214
480.0,16.090000431455216,-8.776196210197233
481.0,15.938258970309334,-8.075590754969973
482.0,15.877357618304767,-7.170642164142011
483.0,15.888253805652086,-5.990532097911916
484.0,15.963988257475494,-4.444542931933401
485.0,16.10883495587537,-2.4468698143706664
486.0,16.333221622119066,-0.08995387923438614
487.0,16.607982565432117,1.6586113799369944
488.0,16.795630094094903,1.007733020159311
489.0,16.825415945838433,-1.2307863730574906
490.0,16.746070301124018,-3.4170363672161135
491.0,16.66436778097275,-5.152909020201967
492.0,16.635292897461092,-6.47837022511193
493.0,16.65849126137129,-7.488547360499965
494.0,16.719865421509635,-8.264190552852462
495.0,16.80754337789606,-8.865729056275422
496.0,16.91377760892231,-9.337191936669052
497.0,17.033895282147306,-9.710568752884775
498.0,17.16529247336245,-10.009211659907438
499.0,17.306936363356677,-10.25029887938253
500.0,17.459463627533104,-10.446581756413051
501.0,17.626128341803266,-10.607617876511792
502.0,17.814129299965273,-10.740642780488026
503.0,18.023489832575077,-10.851189083172478
504.0,18.200628722707,-10.943529052590627
505.0,18.32358176566951,-11.020993406475714
506.0,18.450556852654515,-11.086202859073444
507.0,18.601843735045964,-11.141237762043726
508.0,18.769932123623636,-11.187763492754708
509.0,18.9484340653227,-11.227123955482606
510.0,19.134399824450256,-11.260411914768309
511.0,19.326538124147604,-11.288522354187016
512.0,19.524286861121514,-11.312193293648793
513.0,19.727425742301634,-11.332037263705953
514.0,19.93591100495654,-11.3485657630923
515.0,20.149800460599515,-11.362208404874877
516.0,20.369217488536385,-11.37332801132118
517.0,20.59433304248333,-11.382232595771766
518.0,20.825356599198486,-11.389184935449162
519.0,21.062531880794218,-11.394410267177557
520.0,21.30613533809285,-11.398102510885888
521.0,21.556476389606978,-11.400429331143174
522.0,21.813898910844323,-11.401536276034518
523.0,22.07878373424709,-11.401550179142909
524.0,22.35155207380593,-11.400581969719719
525.0,22.63266988883112,-11.398729005022874
526.0,22.922653278742633,-11.396077014872617
527.0,23.222075072633636,-11.392701729957398
528.0,23.53157285621095,-11.388670251010344
529.0,23.851858775978535,-11.384042204698805
530.0,24.18373158966496,-11.378870723195389
531.0,24.52809161140903,-11.373203277383064
532.0,24.885959457751262,-11.367082388070216
533.0,25.258499879081874,-11.360546235139433
534.0,25.64705252938179,-11.353629180982544
535.0,26.05317239487786,-11.34636222169705
536.0,26.478683945192316,-11.33877337719047
537.0,26.925755159425098,-11.330888029448282
538.0,27.3970007894864,-11.322729216677452
539.0,27.89562889926799,-11.314317889774504
540.0,28.42565039651374,-11.305673136528425
541.0,28.992173294743417,-11.296812378112453
542.0,29.601779446209164,-11.287751541709415
543.0,30.26283989131031,-11.27850521252704
544.0,30.985024307911285,-11.269086767968615
545.0,31.775151930838636,-11.259508496314766
546.0,32.62174975644738,-11.249781701927981
547.0,33.46662333919643,-11.239916798703138
548.0,34.233752497132876,-11.229923393242691
549.0,34.97179057264368,-11.219810359030042
550.0,35.80995971688958,-11.209585902699246
551.0,36.770633794442865,-11.199257623350881
552.0,37.78529692772061,-11.188832565737627
553.0,38.82781831691414,-11.178317268034393
554.0,39.92814924642096,-11.16771780481594
555.0,41.01036425004455,-11.157039825784699
556.0,41.84411258427194,-11.146288590723966
557.0,42.139404816687744,-11.135469001091884
558.0,41.76111973036533,-11.124585628621306
559.0,40.85623957287776,-11.113642741246217
560.0,39.692353506713026,-11.102644326637197
561.0,38.46980155313372,-11.091594113595328
562.0,37.289390888379934,-11.080495591524581
563.0,36.18927309256754,-11.069352028177953
564.0,35.177836445320565,-11.05816648585018
565.0,34.25133338294365,-11.046941836170511
566.0,33.40187667728587,-11.035680773632325
567.0,32.62078472801072,-11.024385827981147
568.0,31.899872275161517,-11.013059375569703
569.0,31.23186874187273,-11.001703649776932
570.0,30.610479959491478,-10.990320750577814
571.0,30.0303147888648,-10.978912653341624
572.0,29.486770326474378,-10.967481216928459
573.0,28.9759139361838,-10.956028191146496
574.0,28.494376355753218,-10.94455522362653
575.0,28.039259902650947,-10.933063866164112
576.0,27.608061635453517,-10.921555580575426
577.0,27.198609813536727,-10.910031744107735
578.0,26.809011623173667,-10.898493654441799
579.0,26.437610225091554,-10.88694253432007
580.0,26.082949426796475,-10.875379535830758
581.0,25.7437445634616,-10.863805744375817
582.0,25.418858432335128,-10.852222182347518
583.0,25.107281350529185,-10.840629812536536
584.0,24.808114592647236,-10.829029541292034
585.0,24.520556616786216,-10.817422221452606
586.0,24.243891610610685,-10.805808655064986
587.0,23.977479989140672,-10.794189595906111
588.0,23.720750557798254,-10.78256575182263
589.0,23.473194122632577,-10.77093778690059
590.0,23.234358388418535,-10.759306323477132
591.0,23.00384403802401,-10.74767194400476
592.0,22.78130193640824,-10.736035192777827
593.0,22.566431453283826,-10.724396577530111
594.0,22.358979953704385,-10.712756570911461
595.0,22.15874357034285,-10.701115611850797
596.0,21.965569451169973,-10.689474106811998
597.0,21.779359780122533,-10.677832430948822
598.0,21.60007800828266,-10.666190929164026
599.0,21.427757926804688,-10.654549917077718
600.0,21.262516486766494,-10.642909681909261
601.0,21.104571665325174,-10.631270483276587
602.0,20.954267253418365,-10.619632553916494
603.0,20.812107292975544,-10.607996100328785
604.0,20.678804170185966,-10.596361303347024
605.0,20.555346310632064,-10.584728318638296
606.0,20.44309439329936,-10.573097277133632
607.0,20.343919588684628,-10.561468285390836
608.0,20.26040443959453,-10.549841425891003
609.0,20.196137997222845,-10.53821675726943
610.0,20.156153536250905,-10.52659431448171
611.0,20.14758145294701,-10.51497410890512
612.0,20.180621315182954,-10.503356128375248
613.0,20.269963993536905,-10.491740337157506
614.0,20.436766221486437,-10.48012667585275
615.0,20.711015943413358,-10.46851506123583
616.0,21.133057997323405,-10.456905386025774
617.0,21.749538288882718,-10.44529751858563
618.0,22.58922142325745,-10.433691302549825
619.0,23.585379609160636,-10.422086556376373
620.0,24.42887051270871,-10.41048307282076
621.0,24.593779792762327,-10.398880618328135
622.0,23.922865720856336,-10.387278932339484
623.0,22.85569083451054,-10.375677726507375
624.0,21.81098726557557,-10.364076683815846
625.0,20.939612376273033,-10.352475457598736
626.0,20.248791482271564,-10.340873670449696
627.0,19.7050550002646,-10.329270913016552
628.0,19.27245922705164,-10.317666742671799
629.0,18.922116914241474,-10.306060682049909
630.0,18.632734868049884,-10.294452217441357
631.0,18.38905351212407,-10.282840797031675
632.0,18.180196465597064,-10.271225828972987
633.0,17.99837966051524,-10.259606679273823
634.0,17.83799149758635,-10.247982669491174
635.0,17.694961695302126,-10.23635307420739
636.0,17.566338138506662,-10.224717118272103
637.0,17.450013763017502,-10.213073973787267
638.0,17.344570563088084,-10.201422756810652
639.0,17.24923513748448,-10.189762523750561
640.0,17.16398007267263,-10.17809226742077
641.0,17.08988331989519,-10.166410912721492
642.0,17.030023200293055,-10.154717311907525
643.0,16.991411666621513,-10.143010239400352
644.0,16.987185236794527,-10.131288386095063
645.0,17.02236909328271,-10.119550353107334
646.0,17.01823417154355,-10.10779464489811
647.0,16.895239587163584,-10.096019661705837
648.0,16.761297000651805,-10.084223691206695
649.0,16.669192446684328,-10.07240489931273
650.0,16.610695361805014,-10.060561320005233
