x1,y1,x2,y2,x3,y3,x4,y4
0.03804238207190042,0.2195040291764847,0.008849414611184063,0.3549988060242954,0.0014897296173206382,0.512026588272434,0.00017996863761535358,0.6671877276020651
0.043767843939054016,0.239304148413659,0.010681479910024506,0.3815137515187273,0.001898981714772134,0.5420214298409644,0.00024383673169399846,0.69587141464715
0.05016911699461905,0.2600419502735968,0.012835406012292378,0.40859689149956097,0.002407959540314963,0.5717787405530216,0.0003283633136618932,0.7233976532358393
0.057295504871440806,0.2816693801740604,0.015355240705007956,0.43612387943139974,0.0030373794198552476,0.601133223506142,0.00043951004001466584,0.7496430285018855
0.06519537291459987,0.3041285853528497,0.018288596236000057,0.46396391416929783,0.003811334391887609,0.6299263508966171,0.0005847192160602462,0.7745059824935894
0.07391539318622663,0.3273522702184857,0.021686481876952546,0.49198159964004434,0.0047576251079964734,0.6580089234986825,0.0007732079788972746,0.797907643732668
0.0834997379838851,0.35126422903251053,0.025603036734460658,0.5200389167446852,0.00590807341650217,0.6852433723022233,0.0010163001007287848,0.81979204516334
0.09398923444427831,0.37578005081796406,0.030095153857282203,0.5479972597035562,0.007298804900151804,0.7115057436407762,0.0013277945576852291,0.8401257576836063
0.10542049514828139,0.40080798675303314,0.03522198873092202,0.5757194868522325,0.008970484755451284,0.7366873211716275,0.00172436813908963,0.8588969866896268
0.11782504175967784,0.4262499658200136,0.04104434786611741,0.6030719353992903,0.01096848978795105,0.7606958515863412,0.0022260070939848072,0.8761141959949115
0.13122844052067456,0.45200274029644344,0.0476239563523434,0.6299263508966167,0.013342998092817021,0.783456355288476,0.0028564601409675635,0.8918043364834721
0.1456494697980441,0.47795913894892883,0.055022606908269926,0.6561616850954262,0.01614897733804004,0.8049115178100559,0.003643702149142602,0.9060107655557215
0.16109934073846705,0.5040094026580177,0.06330119703426691,0.6816657203376522,0.019446052612162666,0.825021671800766,0.004620394512635863,0.918790947728392
0.1775809923767956,0.5300425747814477,0.07251866524262558,0.7063364844674884,0.023298235672643306,0.8437643924168696,0.005824324807749447,0.9302140268063971
0.19508848218994412,0.555947916944454,0.082730841865022,0.7300834271897171,0.027773499247642396,0.8611337403455238,0.007298804900151804,0.9403583562276868
0.21360649206612353,0.5816163201910393,0.09398923444427848,0.7528283365549053,0.03294318288457819,0.8771391961157693,0.009093003458507606,0.9493090670426602
0.23310996795230565,0.6069416815679501,0.10633977201929651,0.7745059824935896,0.03888122074284543,0.8918043364834725,0.011262186064578504,0.9571557432068816
0.2535639090664069,0.6318222172383168,0.11982153650643257,0.7950644827176454,0.045663186683620134,0.9051653083777746,0.013867834048544036,0.963990262193328
0.27492331955623195,0.6561616850954257,0.13446551266258766,0.814465394527589,0.05336515794518935,0.917269158134978,0.016977612096788018,0.9699048461427178
0.29713333192343894,0.6798704924979655,0.15029339058691943,0.8326835438007818,0.06206240547151168,0.928172073617997,0.02066515485028596,0.9749903556141039
0.3201295075020342,0.7028666680765607,0.16731645619921826,0.8497066094130805,0.07182792638200328,0.9379375945284886,0.02500964438589616,0.979334845149714
0.34383831490457356,0.7250766804437675,0.18553460547241096,0.8655344873374123,0.08273084186502216,0.9466348420548107,0.030095153857282203,0.983022387903212
0.36817778276168295,0.7464360909335928,0.20493551728235487,0.8801784634935677,0.09483469162222552,0.95433681331638,0.03600973780667203,0.9861321659514559
0.3930583184320495,0.7668900320476941,0.22549401750641035,0.8936602279807035,0.10819566351652787,0.9611187792571547,0.042844256793118464,0.9887378139354215
0.4183836798089604,0.7863935079338762,0.24717166344509472,0.9060107655557215,0.1228608038842311,0.9670568171154219,0.05069093295733973,0.9909069965414924
0.4440520830555456,0.8049115178100557,0.2699165728102829,0.917269158134978,0.1388662596544764,0.9722265007523576,0.05964164377231324,0.9927011950998482
0.469957425218552,0.8224190076232041,0.2936635155325116,0.9274813347573744,0.15623560758313054,0.9767017643273568,0.06978597319360293,0.9941756751922506
